2025-02-01 05:33:50,006 INFO    MainThread:8859 [wandb_setup.py:_flush():68] Current SDK version is 0.19.5
2025-02-01 05:33:50,007 INFO    MainThread:8859 [wandb_setup.py:_flush():68] Configure stats pid to 8859
2025-02-01 05:33:50,007 INFO    MainThread:8859 [wandb_setup.py:_flush():68] Loading settings from /Users/guo/.config/wandb/settings
2025-02-01 05:33:50,007 INFO    MainThread:8859 [wandb_setup.py:_flush():68] Loading settings from /Users/guo/OSS/self-adpat-llm-mlx/wandb/settings
2025-02-01 05:33:50,007 INFO    MainThread:8859 [wandb_setup.py:_flush():68] Loading settings from environment variables
2025-02-01 05:33:50,008 INFO    MainThread:8859 [wandb_init.py:setup_run_log_directory():637] Logging user logs to /Users/guo/OSS/self-adpat-llm-mlx/wandb/run-20250201_053349-rgv78lnh/logs/debug.log
2025-02-01 05:33:50,008 INFO    MainThread:8859 [wandb_init.py:setup_run_log_directory():638] Logging internal logs to /Users/guo/OSS/self-adpat-llm-mlx/wandb/run-20250201_053349-rgv78lnh/logs/debug-internal.log
2025-02-01 05:33:50,008 INFO    MainThread:8859 [wandb_init.py:init():756] calling init triggers
2025-02-01 05:33:50,008 INFO    MainThread:8859 [wandb_init.py:init():761] wandb.init called with sweep_config: {}
config: {'_wandb': {}}
2025-02-01 05:33:50,008 INFO    MainThread:8859 [wandb_init.py:init():789] starting backend
2025-02-01 05:33:50,289 INFO    MainThread:8859 [wandb_init.py:init():793] sending inform_init request
2025-02-01 05:33:50,369 INFO    MainThread:8859 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2025-02-01 05:33:50,369 INFO    MainThread:8859 [wandb_init.py:init():808] backend started and connected
2025-02-01 05:33:50,372 INFO    MainThread:8859 [wandb_init.py:init():901] updated telemetry
2025-02-01 05:33:50,409 INFO    MainThread:8859 [wandb_init.py:init():926] communicating run to backend with 90.0 second timeout
2025-02-01 05:33:50,748 INFO    MainThread:8859 [wandb_init.py:init():984] starting run threads in backend
2025-02-01 05:33:51,003 INFO    MainThread:8859 [wandb_run.py:_console_start():2385] atexit reg
2025-02-01 05:33:51,003 INFO    MainThread:8859 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2025-02-01 05:33:51,003 INFO    MainThread:8859 [wandb_run.py:_redirect():2300] Wrapping output streams.
2025-02-01 05:33:51,003 INFO    MainThread:8859 [wandb_run.py:_redirect():2325] Redirects installed.
2025-02-01 05:33:51,010 INFO    MainThread:8859 [wandb_init.py:init():1026] run started, returning control to user process
